,image,MSE,PSNR,SSIM
391,he94156,528.7565511067709,20.89977443376329,0.53912395
392,he94157,329.524658203125,22.973721381150483,0.60486376
393,he94158,237.4128621419271,24.19080767367159,0.5964119
394,he94159,182.23199462890625,25.291039299913432,0.61252517
395,he94160,170.56412760416666,25.823155725914294,0.5895407
396,he94183,203.992919921875,25.211441169182166,0.54920393
397,he94184,262.05482991536456,24.03676621703479,0.59669346
398,he94185,170.0638427734375,25.907698622692156,0.64694697
399,he94186,161.703857421875,26.001640127993642,0.6185145
400,he94187,180.9183349609375,25.600826748461877,0.56979483
401,he94188,125.31229654947917,27.248044555054612,0.4154406
402,he94210,50.59559631347656,31.233844532130277,0.7340644
403,he94211,84.62519836425781,29.04251497724241,0.7002015
404,he94214,115.03863525390625,28.115328128101925,0.67074186
405,he94215,170.32889811197916,25.751122542272963,0.47880206
406,he94216,175.1566162109375,25.441171838533595,0.6929896
407,he94235,226.62969970703125,24.427268352607317,0.7017922
408,he94236,109.3743184407552,27.496664338208543,0.7333236
409,he94237,79.80960591634114,29.00275803725309,0.72530764
410,he94238,37.24103291829427,33.2015549940807,0.7495906
411,he94239,47.125213623046875,31.76627597200016,0.7301476
412,he94240,69.99419657389323,29.792385350041894,0.63498574
413,he94241,170.06641642252603,25.885183024997467,0.59168404
414,he94242,186.40922037760416,25.567821703996962,0.61326724
415,he94264,31.699447631835938,33.473596226286176,0.7428159
416,he94265,52.77965799967448,31.158707193363355,0.68829054
417,he94266,38.941365559895836,32.04083336756968,0.7179105
418,he94268,40.84551493326823,32.65666393717509,0.639334
419,he94269,108.1746826171875,27.892077797340626,0.7085574
420,he94270,188.02813720703125,25.12144012095231,0.6966479
421,he94292,61.49391174316406,30.18181582582788,0.63581175
422,he94293,43.12043762207031,31.647466345383855,0.71272403
423,he94294,66.70537821451823,29.89308783370803,0.6164829
424,he94295,76.58278401692708,28.993415110300646,0.677197
425,he94296,79.47313435872395,28.862494933165948,0.70733386
426,he94318,35.88385518391927,33.88187258266656,0.80997133
427,he94319,159.1451212565104,25.862501712428653,0.5443019
428,he94320,60.68567911783854,30.39821524876931,0.5809204
429,he94321,79.94504292805989,28.994850056550415,0.60430604
430,he94322,77.73276265462239,28.98618010209134,0.61271316
431,he94323,47.33452860514323,31.661858924740503,0.6919453
432,he94345,86.9796142578125,28.99612371583258,0.6935375
433,he94346,102.03531901041667,28.06198530461531,0.6704559
434,he94347,105.29203287760417,27.993112044632223,0.48380646
435,he94349,58.95158386230469,30.327682743763653,0.5172646
436,he94350,134.37664794921875,26.817837789418732,0.6680858
437,he94368,570.4043375651041,20.19483283331896,0.66347307
438,he94373,81.54463195800781,29.136244775468498,0.7143876
439,he94374,107.80208333333333,28.19440933379067,0.6190225
440,he94375,62.945292154947914,30.17016263311074,0.63995486
441,he94376,44.38788350423177,31.915574673447203,0.575717
442,he94399,129.69017537434897,27.392347217666906,0.7169973
443,he94400,469.2421061197917,21.027087454497316,0.6634624
444,he94401,114.61006673177083,27.503792251941128,0.67670757
445,he94426,171.03751627604166,25.48374883985129,0.6970518
446,he94448,312.3663736979167,23.081676042115586,0.63254386
447,he94475,508.60693359375,20.88892774322034,0.662023
448,he94476,123.4951680501302,27.674317458399994,0.7301871
449,he94480,317.14453125,23.054872948508233,0.6709406
450,he94503,444.3923746744792,21.327077444479823,0.69267184
451,he94504,95.05780029296875,28.560150419598145,0.7195382
452,he94505,94.01249186197917,29.523515028590637,0.73287535
